,Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Developer,Rating
295,Watch Dogs,PS4,2014,Action,Ubisoft,4050000,80,Ubisoft Montreal,M
298,Far Cry 4,PS4,2014,Shooter,Ubisoft,4040000,85,Ubisoft Montreal,M
303,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,3970000,92,CD Projekt Red Studio,M
304,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,3960000,70,"Ubisoft, Ubisoft Montreal",M
305,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,3950000,87,Rocksteady Studios,M
312,Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,3890000,86,Capcom,T
314,NBA 2K16,PS4,2015,Sports,Take-Two Interactive,3880000,87,Visual Concepts,E10+
323,Call of Duty: Ghosts,PS4,2013,Shooter,Activision,3830000,78,Infinity Ward,M
325,Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,3800000,80,Massive Entertainment,M
357,Battlefield 4,PS4,2013,Shooter,Electronic Arts,3590000,85,EA DICE,M
373,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,3500000,72,"Ubisoft, Ubisoft Montreal",M
390,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,3410000,93,"Kojima Productions, Moby Dick Studio",M
396,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,3390000,76,Ubisoft Quebec,M
398,Destiny,XOne,2014,Shooter,Activision,3370000,75,"Bungie Software, Bungie",T
413,Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,3280000,82,"Splash Damage, The Coalition",M
417,FIFA 16,XOne,2015,Sports,Electronic Arts,3250000,84,EA Sports,E
420,Madden NFL 16,PS4,2015,Sports,Electronic Arts,3240000,83,EA Sports,E
422,Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,3230000,85,343 Industries,M
424,Super Mario Maker,WiiU,2015,Platform,Nintendo,3210000,88,Nintendo,E
448,The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,3100000,91,Nintendo,E
457,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,3050000,66,Nintendo,E
458,The Sims 4,PC,2014,Simulation,Electronic Arts,3050000,70,Maxis,T
469,FIFA 14,PS4,2013,Sports,Electronic Arts,3010000,87,EA Canada,E
481,Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,2960000,84,Monolith Productions,M
484,Titanfall,XOne,2014,Shooter,Electronic Arts,2950000,86,Respawn Entertainment,M
493,Call of Duty: Ghosts,XOne,2013,Shooter,Activision,2920000,78,Infinity Ward,M
509,Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,2850000,83,Ubisoft,M
529,inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,2790000,80,Sucker Punch,T
539,Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,2780000,83,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M
560,Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,2690000,73,Guerrilla,M
571,FIFA 17,XOne,2016,Sports,Electronic Arts,2650000,84,"EA Sports, EA Vancouver",E
623,Bloodborne,PS4,2015,Action,Sony Computer Entertainment,2480000,92,From Software,M
631,NBA 2K15,PS4,2014,Sports,Take-Two Interactive,2450000,83,Visual Concepts,E
640,Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,2420000,78,Infinity Ward,M
641,Madden NFL 16,XOne,2015,Sports,Electronic Arts,2420000,84,EA Sports,E
677,The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,2340000,89,GREZZO,E10+
680,NBA 2K16,XOne,2015,Sports,Take-Two Interactive,2340000,86,Visual Concepts,E10+
688,Guild Wars 2,PC,2012,Action,NCSoft,2310000,90,ArenaNet,T
690,Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,2300000,75,Intelligent Systems,E
708,Far Cry: Primal,PS4,2016,Action,Ubisoft,2260000,76,Ubisoft Montreal,M
709,Battlefield 1,XOne,2016,Shooter,Electronic Arts,2250000,87,EA DICE,M
720,New Super Luigi U,WiiU,2013,Platform,Nintendo,2240000,77,Nintendo,E
733,Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,2210000,73,Ubisoft Montreal,M
738,Forza Motorsport 5,XOne,2013,Racing,Microsoft Game Studios,2200000,79,Turn 10,E
749,Madden NFL 15,PS4,2014,Sports,Electronic Arts,2190000,81,EA Sports,E
754,FIFA 15,XOne,2014,Sports,Electronic Arts,2180000,82,EA Sports,E
758,Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft,2160000,80,Massive Entertainment,M
767,Overwatch,PS4,2016,Shooter,Activision,2140000,90,Blizzard Entertainment,T
790,Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,2100000,73,Visceral Games,M
797,Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,2089999,74,Techland,M
814,DriveClub,PS4,2014,Racing,Sony Computer Entertainment,2069999,71,Evolution Studios,E
847,Battlefield 4,XOne,2013,Shooter,Electronic Arts,2020000,81,EA DICE,M
848,Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,2009999,92,Intelligent Systems,T
851,Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,2009999,89,BioWare,M
863,Need for Speed Rivals,PS4,2013,Racing,Electronic Arts,1980000,80,Ghost Games,E10+
895,Destiny: The Taken King,PS4,2015,Shooter,Activision,1930000,86,Bungie,T
901,Mario Party: Island Tour,3DS,2013,Misc,Nintendo,1920000,57,"Nintendo, Nd Cube",E
908,LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,1910000,79,Sumo Digital,E
921,NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1880000,88,Visual Concepts,E
938,Just Cause 3,PS4,2015,Action,Square Enix,1860000,73,Avalanche Studios,M
952,Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,1830000,80,HAL Labs,E
959,World of Warcraft: Mists of Pandaria,PC,2012,Role-Playing,Activision,1820000,82,Blizzard Entertainment,T
968,Mafia III,PS4,2016,Action,Take-Two Interactive,1810000,68,Hangar 13,M
975,Forza Motorsport 6,XOne,2015,Racing,Microsoft Game Studios,1800000,87,Turn 10,E
976,The Evil Within,PS4,2014,Action,Bethesda Softworks,1790000,75,Tango Gameworks,M
1007,Madden NFL 17,PS4,2016,Sports,Electronic Arts,1750000,82,EA Sports,E
1015,Wii Party U,WiiU,2013,Misc,Nintendo,1750000,65,Nd Cube,E
1026,The Order: 1886,PS4,2015,Shooter,Sony Computer Entertainment,1740000,63,"Ready at Dawn, SCE Santa Monica",M
1028,Knack,PS4,2013,Platform,Sony Computer Entertainment Europe,1730000,54,SCE Japan Studio,E10+
1035,The Crew,PS4,2014,Racing,Ubisoft,1720000,61,"Ubisoft Reflections, Ivory Tower",T
1037,NBA 2K15,XOne,2014,Sports,Take-Two Interactive,1720000,82,Visual Concepts,E
1056,No Man's Sky,PS4,2016,Action,Hello Games,1700000,71,Hello Games,T
1095,StarCraft II: Heart of the Swarm,PC,2013,Strategy,Activision,1670000,86,Blizzard Entertainment,T
1097,Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe,1660000,79,SuperMassive Games,M
1107,Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,1650000,89,From Software,M
1125,Far Cry 4,XOne,2014,Shooter,Ubisoft,1630000,82,Ubisoft Montreal,M
1139,LEGO Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,1620000,83,TT Games,E10+
1168,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,1580000,75,Square Enix,E10+
1174,Mario Party 10,WiiU,2015,Misc,Nintendo,1580000,66,"Nintendo, Nd Cube",E
1176,Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1570000,78,Capcom Vancouver,M
1180,Watch Dogs,XOne,2014,Action,Ubisoft,1570000,78,Ubisoft Montreal,M
1183,Madden NFL 15,XOne,2014,Sports,Electronic Arts,1570000,80,EA Sports,E
1208,Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,1550000,79,MachineGames,M
1227,Call of Duty: Black Ops II,PC,2012,Shooter,Activision,1530000,74,Treyarch,M
1231,Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,1520000,83,Retro Studios,E
1274,Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,1490000,85,Rocksteady Studios,M
1294,Call of Duty Black Ops: Declassified,PSV,2012,Action,Activision,1470000,33,Nihilistic,M
1325,NBA 2K14,PS4,2013,Sports,Take-Two Interactive,1450000,85,Visual Concepts,E
1351,SimCity (2013),PC,2013,Simulation,Electronic Arts,1420000,64,Maxis,E10+
1386,Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios,1400000,86,Playground Games,E10+
1395,Yoshi's New Island,3DS,2014,Platform,Nintendo,1380000,64,Arzest,E
1400,Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios,1380000,60,Crytek,M
1401,Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment,1380000,86,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M
1403,Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix,1380000,86,Crystal Dynamics,M
1434,Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,1350000,87,Monolith Productions,M
1437,Battlefield 4,PC,2013,Shooter,Electronic Arts,1350000,81,EA DICE,M
1439,Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,1350000,84,The Coalition,M
1455,Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft,1340000,74,Ubisoft Montreal,M
1485,Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,1320000,70,Ubisoft,M
1499,The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,1310000,91,CD Projekt Red Studio,M
1509,Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,1300000,78,Good-Feel,E
1515,Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,1300000,78,Ubisoft Quebec,M
1529,Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,1290000,74,Techland,M
1530,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,1290000,84,Bethesda Game Studios,M
1536,The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,1280000,77,ZeniMax Media,M
1551,Kid Icarus: Uprising,3DS,2012,Action,Nintendo,1270000,83,"Opus, Project Sora",E10+
1552,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,1270000,59,"Nintendo, Spike Chunsoft",E
1559,Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,1270000,75,Kojima Productions,M
1595,LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,1250000,88,"Tarsier Studios, Double Eleven",E
1596,Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,1250000,69,"Spike Chunsoft Co. Ltd., Spike Chunsoft",E
1615,Madden NFL 17,XOne,2016,Sports,Electronic Arts,1230000,83,EA Sports,E
1627,Hyrule Warriors,WiiU,2014,Action,Nintendo,1230000,76,Omega Force,T
1658,WWE 2K16,PS4,2015,Sports,Take-Two Interactive,1210000,73,Yuke's,T
1666,Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,1210000,71,Visceral Games,M
1691,Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,1190000,81,Nintendo EAD Tokyo,E
1694,Destiny: The Taken King,XOne,2015,Shooter,Activision,1190000,89,"Bungie Software, Bungie",T
1730,Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,1170000,96,Rockstar North,M
1753,FIFA 14,XOne,2013,Sports,Electronic Arts,1160000,88,EA Canada,E
1775,WWE 2K15,PS4,2014,Sports,Take-Two Interactive,1150000,62,Yuke's,T
1798,Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios,1140000,81,Insomniac Games,M
1801,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,1140000,79,CyberConnect2,T
1806,Watch Dogs 2,PS4,2016,Action,Ubisoft,1130000,83,Ubisoft Montreal,M
1812,Alien: Isolation,PS4,2014,Shooter,Sega,1130000,79,Creative Assembly,M
1814,Fantasy Life,3DS,2012,Role-Playing,Nintendo,1130000,73,"Level 5, Brownie Brown",E10+
1817,The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,1120000,73,Nintendo,E
1831,Persona 4: Golden,PSV,2012,Role-Playing,Atlus,1120000,93,Atlus,M
1846,Pikmin 3,WiiU,2013,Strategy,Nintendo,1110000,87,Nintendo,E10+
1848,Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,1110000,69,Dimps Corporation,T
1866,LEGO City Undercover,WiiU,2013,Platform,Nintendo,1100000,80,TT Games,E10+
1880,Project CARS,PS4,2015,Racing,Slightly Mad Studios,1090000,83,Slightly Mad Studios,E
1904,Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,1080000,91,Playground Games,E
1948,Overwatch,XOne,2016,Shooter,Activision,1060000,91,Blizzard Entertainment,T
1978,EA Sports UFC,PS4,2014,Sports,Electronic Arts,1050000,70,EA Sports,T
2012,The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,1030000,86,"Tantalus Interactive, Tantatus, Nintendo",T
2024,NBA 2K17,XOne,2016,Sports,Take-Two Interactive,1020000,90,Visual Concepts,E
2051,Rayman Legends,PS4,2014,Platform,Ubisoft,1010000,90,Ubisoft Montpellier,E10+
2055,ZombiU,WiiU,2012,Action,Ubisoft,1010000,77,Ubisoft Montpellier,M
2056,Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,1010000,76,Bandai Namco Games,E10+
2126,Mass Effect 3,PC,2012,Role-Playing,Electronic Arts,970000,89,BioWare,M
2136,Far Cry 3,PC,2012,Shooter,Ubisoft,960000,88,Ubisoft Montreal,M
2137,Evolve,PS4,2015,Shooter,Take-Two Interactive,960000,76,Turtle Rock Studios,M
2145,Farming Simulator 2013,PC,2012,Simulation,Focus Home Interactive,960000,65,Giants Software,E
2155,Mario Tennis Open,3DS,2012,Sports,Nintendo,950000,69,Camelot Software Planning,E
2210,EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,930000,79,EA Sports,T
2214,Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,930000,85,BioWare,M
2219,Kirby: Planet Robobot,3DS,2016,Action,Nintendo,930000,81,HAL Labs,E
2232,Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,930000,73,TT Games,E10+
2237,Assassin's Creed III,PC,2012,Action,Ubisoft,930000,80,Ubisoft,M
2238,Borderlands 2,PC,2012,Shooter,Take-Two Interactive,930000,89,Gearbox Software,M
2240,Disney Magical World,3DS,2013,Adventure,Nintendo,920000,71,h.a.n.d. Inc.,E
2247,MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,920000,80,SCEA San Diego Studios,E
2264,Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,910000,74,Marvelous AQL,E
2280,NBA 2K14,XOne,2013,Sports,Take-Two Interactive,910000,86,Visual Concepts,E
2290,Street Fighter V,PS4,2016,Fighting,Capcom,900000,77,Capcom,T
2291,Just Cause 3,XOne,2015,Action,Square Enix,900000,71,Avalanche Studios,M
2301,LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,900000,70,TT Games,E10+
2303,The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,900000,71,ZeniMax Media,M
2307,Madden NFL 25,PS4,2013,Sports,Electronic Arts,900000,74,EA Sports,E
2313,LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,900000,61,TT Games,E10+
2367,Far Cry: Primal,XOne,2016,Action,Ubisoft,880000,77,Ubisoft Montreal,M
2368,Resident Evil: Revelations,3DS,2012,Action,Capcom,880000,82,Capcom,M
2375,Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,880000,82,Gearbox Software,M
2416,Guitar Hero Live,PS4,2015,Misc,Activision,860000,80,FreeStyleGames,T
2445,Wii Fit U,WiiU,2013,Sports,Nintendo,850000,72,Nintendo,E
2457,Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,840000,84,Monolith Soft,T
2543,Madden NFL 25,XOne,2013,Sports,Electronic Arts,810000,73,EA Sports,E
2560,Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012,Puzzle,Level 5,800000,79,Level 5,T
2566,Killzone: Mercenary,PSV,2013,Shooter,Sony Computer Entertainment Europe,800000,78,Guerilla Cambridge,M
2569,Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,Square Enix,800000,86,Virtuos,T
2600,Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,790000,87,Konami,E
2603,Rare Replay,XOne,2015,Misc,Microsoft Game Studios,790000,84,Rare Ltd.,M
2687,Bayonetta 2,WiiU,2014,Action,Nintendo,760000,91,PlatinumGames,M
2714,Professor Layton and the Azran Legacy,3DS,2013,Puzzle,Nintendo,750000,81,Level 5,E10+
2718,Titanfall 2,PS4,2016,Shooter,Electronic Arts,750000,89,Respawn Entertainment,M
2720,Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment,750000,95,"Kojima Productions, Moby Dick Studio",M
2726,LEGO Batman 2: DC Super Heroes,3DS,2012,Action,Warner Bros. Interactive Entertainment,750000,72,TT Games,E10+
2734,Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,750000,82,Konami,E
2778,LEGO Marvel Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,740000,82,TT Games,E10+
2784,Dragon Age: Inquisition,PC,2014,Role-Playing,Electronic Arts,730000,85,BioWare,M
2799,Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,730000,76,syn Sophia,E
2811,LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,730000,71,TT Games,E10+
2813,Just Dance 2015,WiiU,2014,Misc,Ubisoft,730000,75,Ubisoft,E10+
2815,LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,730000,80,Traveller's Tales,E10+
2829,Total War: Rome II,PC,2013,Strategy,Sega,720000,76,Creative Assembly,T
2839,Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,Nippon Ichi Software,720000,83,Atlus,M
2840,MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,720000,83,SCEA San Diego Studios,E
2851,The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,720000,93,CD Projekt Red Studio,M
2865,XCOM: Enemy Unknown,PC,2012,Strategy,Take-Two Interactive,710000,89,Firaxis Games,M
2889,Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,710000,73,Dimps Corporation,T
2903,Skylanders: Trap Team,WiiU,2014,Action,Activision,700000,86,Toys for Bob,E10+
2917,Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,700000,78,TT Games,E10+
2955,Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,690000,76,PopCap,E10+
2956,Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,690000,75,Ghost Games,E10+
2980,Sniper Elite 3,PS4,2014,Shooter,505 Games,680000,67,Rebellion,M
2991,Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,680000,79,MachineGames,M
3006,The Evil Within,XOne,2014,Action,Bethesda Softworks,670000,79,Tango Gameworks,M
3011,The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,670000,71,TT Games,E10+
3035,F1 2015,PS4,2015,Racing,Codemasters,660000,65,Codemasters,E
3065,Rayman Legends,WiiU,2013,Platform,Ubisoft,660000,92,Ubisoft Montpellier,E10+
3067,BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,660000,94,Irrational Games,M
3084,LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,650000,70,TT Games,E10+
3086,Freedom Wars,PSV,2014,Role-Playing,Sony Computer Entertainment,650000,73,"Dimps Corporation, SCE Japan Studio",T
3102,Mortal Kombat,PSV,2012,Fighting,Warner Bros. Interactive Entertainment,650000,85,NetherRealm Studios,M
3123,Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,650000,64,Giants Software,E
3127,Borderlands 2,PSV,2014,Shooter,Take-Two Interactive,640000,64,Iron Galaxy Studios,M
3130,Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,640000,84,Ubisoft,M
3134,The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,640000,68,TT Games,E10+
3150,Football Manager 2014,PC,2013,Sports,Sega,640000,85,Sports Interactive,E
3157,Dishonored 2,PS4,2016,Action,Bethesda Softworks,640000,88,Arkane Studios,M
3161,The Crew,XOne,2014,Racing,Ubisoft,640000,64,"Ubisoft Reflections, Ivory Tower",T
3168,Evolve,XOne,2015,Shooter,Take-Two Interactive,640000,74,Turtle Rock Studios,M
3186,Far Cry 4,PC,2014,Shooter,Ubisoft,630000,80,Ubisoft Montreal,M
3205,Angry Birds Trilogy,3DS,2012,Action,Activision,630000,62,Exient Entertainment,E
3212,Crysis 3,PC,2013,Shooter,Electronic Arts,630000,76,Crytek,M
3214,NHL 16,PS4,2015,Sports,Electronic Arts,630000,78,"EA Sports, EA Canada",E10+
3250,Mafia III,XOne,2016,Action,Take-Two Interactive,620000,67,Hangar 13,M
3280,Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,610000,73,5TH Cell,E10+
3284,Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,610000,75,PopCap,E10+
3296,Tearaway,PSV,2013,Adventure,Sony Computer Entertainment Europe,610000,87,Media Molecule,E
3335,Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,600000,60,Microsoft Game Studios,E10+
3339,Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,600000,71,Avalanche Software,E10+
3363,LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,600000,72,TT Games,E10+
3365,WWE 2K17,PS4,2016,Sports,Take-Two Interactive,600000,69,Yuke's,T
3366,Just Dance 2014,WiiU,2013,Misc,Ubisoft,600000,72,Ubisoft,E10+
3370,NHL 15,PS4,2014,Sports,Electronic Arts,600000,60,EA Sports,E10+
3401,WWE 2K16,XOne,2015,Sports,Take-Two Interactive,590000,72,Yuke's,T
3448,Skylanders SWAP Force,WiiU,2013,Platform,Activision,580000,89,Vicarious Visions,E10+
3453,Shin Megami Tensei IV,3DS,2013,Role-Playing,Atlus,580000,83,Atlus,M
3475,FIFA Soccer,PSV,2012,Sports,Electronic Arts,580000,79,Electronic Arts,E
3508,Titanfall 2,XOne,2016,Shooter,Electronic Arts,570000,87,Respawn Entertainment,M
3522,WWE 2K15,XOne,2014,Sports,Take-Two Interactive,570000,56,Yuke's,T
3537,Just Dance 2016,WiiU,2015,Misc,Ubisoft,570000,73,Ubisoft,E10+
3546,Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,570000,78,Neverland,E10+
3557,Titanfall,PC,2014,Shooter,Electronic Arts,560000,86,Respawn Entertainment,M
3605,Gravity Rush,PSV,2012,Action,Sony Computer Entertainment,560000,83,SCE Japan Studio,T
3606,Quantum Break,XOne,2016,Action,Microsoft Game Studios,560000,77,Remedy Entertainment,M
3630,Guitar Hero Live,XOne,2015,Misc,Activision,550000,81,FreeStyleGames,T
3645,Resident Evil: Revelations 2,PS4,2015,Action,Capcom,550000,75,Capcom,M
3652,Assassin's Creed: Unity,PC,2014,Action,Ubisoft,550000,70,"Ubisoft, Ubisoft Montreal",M
3696,Rayman Origins,PSV,2012,Platform,Ubisoft,540000,88,UBlart Montpellier,E10+
3718,Final Fantasy Explorers,3DS,2014,Role-Playing,Square Enix,540000,69,Racjin,E10+
3748,LEGO Dimensions,WiiU,2015,Action,Warner Bros. Interactive Entertainment,530000,62,Traveller's Tales,E10+
3767,Just Dance 2015,XOne,2014,Misc,Ubisoft,530000,70,Ubisoft,E10+
3769,The LEGO Movie Videogame,XOne,2014,Action,Warner Bros. Interactive Entertainment,530000,69,TT Games,E10+
3771,Overwatch,PC,2016,Shooter,Activision,530000,91,Blizzard Entertainment,T
3791,StarCraft II: Legacy of the Void,PC,2015,Strategy,Activision,530000,88,Blizzard Entertainment,T
3840,LEGO Jurassic World,WiiU,2015,Action,Warner Bros. Interactive Entertainment,520000,71,TT Games,E10+
3845,Rory McIlroy PGA Tour,PS4,2015,Action,Electronic Arts,520000,61,EA Tiburon,E
3848,Lords of the Fallen,PS4,2014,Role-Playing,Square Enix,520000,68,"City Interactive, Deck 13",M
3858,Kirby and the Rainbow Curse,WiiU,2015,Platform,Nintendo,520000,73,HAL Labs,E
3892,Soul Sacrifice,PSV,2013,Role-Playing,Sony Computer Entertainment,510000,77,"SCE Japan Studio, comcept",M
